Organisation,Kategori
ElectriCITY Innovation EK,Civilsamhällesorganisation
Fastighetsägareförening Sofielund,Civilsamhällesorganisation
Högdalsgruppen Ideel Förening,Civilsamhällesorganisation
Initiatives of Change Sverige (Hopp i Järva),Civilsamhällesorganisation
Kista Träff,Civilsamhällesorganisation
Riksbyggen Ekonomisk Förening,Civilsamhällesorganisation
Röstånga Ekoby ek för,Civilsamhällesorganisation
Röstånga tillsammans,Civilsamhällesorganisation
Smart Village ,Civilsamhällesorganisation
Studiefrämjandet Uppsala,Civilsamhällesorganisation
Svenska Kyrkan (Uppsala pastorat),Civilsamhällesorganisation
Chalmers,Forskning
Eindhoven University of Technology,Forskning
Energiforsk,Forskning
Göteborgs universitet,Forskning
Handelshögskolan vid Göteborgs Universitet,Forskning
Högskolan Dalarna,Forskning
IVL Svenska miljöinstitutet,Forskning
KTH,Forskning
Lunds tekniska högskola,Forskning
Lunds universitetet,Forskning
RISE ,Forskning
SINTEF,Forskning
Sveriges Lantbruksuniversitet (SLU),Forskning
Umeå universitet,Forskning
Uppsala universitet,Forskning
ABB ,Näringsliv
Akademiska Hus,Näringsliv
Älvstranden Utveckling,Näringsliv
Borlänge Energi,Näringsliv
Camfil Svenska,Näringsliv
E.ON Energilösningar,Näringsliv
Ericsson ,Näringsliv
EvalPart ,Näringsliv
FOJAB Arkitekter,Näringsliv
Foreseeti,Näringsliv
Göteborg Energi,Näringsliv
Herrljunga elektriska,Näringsliv
I am home,Näringsliv
Iioote,Näringsliv
Johanneberg Science Park,Näringsliv
Kalmar energi,Näringsliv
Kista Science City,Näringsliv
Kraftringen,Näringsliv
Kungälv Energi,Näringsliv
Laterre Invest ,Näringsliv
Lindroos Arkitekter,Näringsliv
LINK Arkitektur,Näringsliv
Locum,Näringsliv
Mann + Hummel Vokes Air ,Näringsliv
Mat.se,Näringsliv
Medicon Village Science Park,Näringsliv
Neolund,Näringsliv
Rosendal Fastigheter,Näringsliv
Senseair ,Näringsliv
ServaNet,Näringsliv
Sharing Capabilities,Näringsliv
Sony Mobile Communications,Näringsliv
SSM Holding ,Näringsliv
Svalna,Näringsliv
Sweden FoodTech,Näringsliv
Swegon,Näringsliv
Sweheat,Näringsliv
Sydö,Näringsliv
Systemair,Näringsliv
Tekniska verken i Kiruna,Näringsliv
Telia,Näringsliv
Theory Into Practice (TIP),Näringsliv
Trianon ,Näringsliv
Trivector,Näringsliv
Uppsalahem ,Näringsliv
Urban ICT Arena (samma org som Kista Science City),Näringsliv
Urban Minds,Näringsliv
Urbio,Näringsliv
Vattenfall,Näringsliv
WSP,Näringsliv
Borlänge kommun,Offentlig verksamhet
Business Region Göteborg,Offentlig verksamhet
Danderyds Sjukhus,Offentlig verksamhet
Energikontor sydost,Offentlig verksamhet
Göteborgs stad,Offentlig verksamhet
Herrljunga kommun,Offentlig verksamhet
Invest Stockholm,Offentlig verksamhet
Karlstads kommun ,Offentlig verksamhet
Kungälvs kommun,Offentlig verksamhet
Lunds kommun,Offentlig verksamhet
Malmö stad,Offentlig verksamhet
Region Uppsala,Offentlig verksamhet
Stockholm Läns Landsting,Offentlig verksamhet
Stockholm stad,Offentlig verksamhet
Umeå kommun,Offentlig verksamhet
Upplands Väsby kommun,Offentlig verksamhet
Uppsala kommun,Offentlig verksamhet
